,text,timestamp,clean_text,pred_sadness
0,Donald Trump is the very worst person to handle the coronavirus crisis | World news | The Guardian https://www.theguardian.com/world/2020/mar/12/donald-trump-coronavirus-crisis …,2020-03-12 23:54:26,Donald Trump is the very worst person to handle the coronavirus crisis | World news | The Guardian ,1
1,"@billmaher Corona Virus & 2020 Nov Election
Infectious Disease Specialists & CDC say virus could slow in summer, then come back like a Nuke late fall/early winter...as in Election Day!
How will Trump manipulate this to his advantage when it comes to voting?",2020-03-10 23:49:57," Corona Virus & 2020 Nov Election
Infectious Disease Specialists & CDC say virus could slow in summer, then come back like a Nuke late fall/early winter...as in Election Day!
How will Trump manipulate this to his advantage when it comes to voting?",1
2,i predicted coronavirus with my Super Snout https://twitter.com/thotsbytess/status/1229809904887558144 …,2020-03-13 23:47:20,i predicted coronavirus with my Super Snout ,0
3,How are people testing positive for Corona Virus but not be displaying any symptoms? Isn’t part of the test criteria that you have to be having symptoms?,2020-03-18 23:56:10,How are people testing positive for Corona Virus but not be displaying any symptoms? Isn’t part of the test criteria that you have to be having symptoms?,1
4,"GREETINGS,
And find smart solutions to improve of the PUBLIC MENTALITY! Because, Hindu drink cows PEE! For anti coronavirus! Because Indian Politicians & MEDIA'S, BOGUS!!! Not for PUBLIC. Because of cursed Modi's BOGUS!!! Not well educated! This is origin DNA! https://twitter.com/htTweets/status/1239338086259208192 …pic.twitter.com/TwIw9E9aac",2020-03-15 23:52:34,"GREETINGS,
And find smart solutions to improve of the PUBLIC MENTALITY! Because, Hindu drink cows PEE! For anti coronavirus! Because Indian Politicians & MEDIA'S, BOGUS!!! Not for PUBLIC. Because of cursed Modi's BOGUS!!! Not well educated! This is origin DNA! ",0
5,"Who pissed on his tie?
#TrumpPresser #TrumpFailsAgain
#COVID2019 #CoronavirusUSA
#TrumpIsAMoron #Trump doesn't know that tax legislation must be presented to #TheHouse NOT The Senate. #WeThePeople
#NoTaxationWithoutRepresentation
#TrumpCrash #PencePandemic
#FlipTheSenatehttps://twitter.com/BrianKarem/status/1237145079002906624 …",2020-03-09 23:51:37,"Who pissed on his tie?
#TrumpPresser #TrumpFailsAgain
#COVID2019 #CoronavirusUSA
#TrumpIsAMoron #Trump doesn't know that tax legislation must be presented to #TheHouse NOT The Senate. #WeThePeople
#NoTaxationWithoutRepresentation
#TrumpCrash #PencePandemic
#FlipTheSenate",0
6,"https://www.openpr.com/news/1978592/covid-19-the-corona-virus-and-how-make-money-creating-music …

Make money online with your music during the #CoronavirusPandemic
#CoronaVirus #Covid19 #MakeMoneyOnline

If people are doubting how far you can go, go so far that you can’t hear them anymore",2020-03-22 23:51:16,"

Make money online with your music during the #CoronavirusPandemic
#CoronaVirus #Covid19 #MakeMoneyOnline

If people are doubting how far you can go, go so far that you can’t hear them anymore",1
7,"Yeah a ""story"" sounds about right...wake me up when he has Coronavirus
#Sabres50pic.twitter.com/f3scnZNrCF",2020-03-09 23:49:32,"Yeah a ""story"" sounds about right...wake me up when he has Coronavirus
#Sabres50pic.twitter.com/f3scnZNrCF",0
8,"@GovBillLee The number of confirmed #COVID19 cases in Tennessee increased to 505 on Sunday from Saturday's total of 371, according to the Tennessee Department of Health's daily virus update. #StayAtHome",2020-03-22 23:50:50," The number of confirmed #COVID19 cases in Tennessee increased to 505 on Sunday from Saturday's total of 371, according to the Tennessee Department of Health's daily virus update. #StayAtHome",0
9,"Okay, perhaps stupid but sincere #coronavirus question: if infected, do we pose any risk to our dogs or cats?",2020-03-15 23:57:34,"Okay, perhaps stupid but sincere #coronavirus question: if infected, do we pose any risk to our dogs or cats?",0
10,I’m telling our professor u have coronavirus... and you gave it to me,2020-03-09 23:58:06,I’m telling our professor u have coronavirus... and you gave it to me,0
11,Good Corbin Report on Coronavirus and Climate Change Op https://www.corbettreport.com/coronavirus-and-climate-change-propagandawatch/ …,2020-03-17 23:52:52,Good Corbin Report on Coronavirus and Climate Change Op ,0
12,Coronavirus Update: Practical Considerations for Remote Working Arrangements https://www.jdsupra.com/legalnews/coronavirus-update-practical-66212/ …,2020-03-20 23:50:04,Coronavirus Update: Practical Considerations for Remote Working Arrangements ,0
13,New daily podcast on #COVID19 from Johns Hopkins school of public health: http://johnshopkinssph.libsyn.com ,2020-03-08 23:51:35,New daily podcast on #COVID19 from Johns Hopkins school of public health: ,0
14,Keep calm and carry on: what is the logic behind Britain’s coronavirus bet?… http://hagaag.com/2020/03/14/keep-calm-and-carry-on-what-is-the-logic-behind-britains-coronavirus-bet/ …pic.twitter.com/nCNqnkHsy8,2020-03-13 23:47:13,Keep calm and carry on: what is the logic behind Britain’s coronavirus bet?… ,0
15,#CoronaVirus Netflix and you sit over there,2020-03-15 23:51:47,#CoronaVirus Netflix and you sit over there,0
16,'Bachelorette' taking numerous precautions because of coronavirus https://pagesix.com/2020/03/12/bachelorette-taking-numerous-precautions-because-of-coronavirus/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons … via @pagesix,2020-03-12 23:57:53,'Bachelorette' taking numerous precautions because of coronavirus  via ,0
